sort_type,list_length,case,run_time,number_of_repeats,date_time
merge_sort,16,sorted_case,4.899283359999913e-05,1,2020-11-30 11:47:18.930003
merge_sort,16,sorted_case,4.891844639999761e-05,2,2020-11-30 11:47:18.930291
merge_sort,16,sorted_case,4.8951033599999505e-05,3,2020-11-30 11:47:18.930380
combined_sort,16,sorted_case,3.253222149999999e-05,1,2020-11-30 11:47:20.523297
combined_sort,16,sorted_case,3.2616040400000654e-05,2,2020-11-30 11:47:20.523595
combined_sort,16,sorted_case,3.275748359999966e-05,3,2020-11-30 11:47:20.523685
quick_sort,16,sorted_case,2.4949095799999553e-05,1,2020-11-30 11:47:21.728642
quick_sort,16,sorted_case,2.441726779999982e-05,2,2020-11-30 11:47:21.729023
quick_sort,16,sorted_case,2.4917696599999318e-05,3,2020-11-30 11:47:21.729136
numpy_sort,16,sorted_case,1.3948434849999814e-05,1,2020-11-30 11:47:23.217467
numpy_sort,16,sorted_case,1.4118397349999867e-05,2,2020-11-30 11:47:23.217786
numpy_sort,16,sorted_case,1.4109488100000078e-05,3,2020-11-30 11:47:23.217866
python_sort,16,sorted_case,1.7332361749999592e-06,1,2020-11-30 11:47:24.937826
python_sort,16,sorted_case,1.7472574349999804e-06,2,2020-11-30 11:47:24.938144
python_sort,16,sorted_case,1.7285507300000092e-06,3,2020-11-30 11:47:24.938225
insertion_sort,16,sorted_case,1.1553451000000337e-05,1,2020-11-30 11:47:25.951837
insertion_sort,16,sorted_case,1.1429742549999845e-05,2,2020-11-30 11:47:25.952128
insertion_sort,16,sorted_case,9.847824099999514e-06,3,2020-11-30 11:47:25.952252
bubble_sort,16,sorted_case,6.620107859999962e-05,1,2020-11-30 11:47:27.668604
bubble_sort,16,sorted_case,5.552135959999873e-05,2,2020-11-30 11:47:27.668933
bubble_sort,16,sorted_case,5.508177239999839e-05,3,2020-11-30 11:47:27.669044
merge_sort,32,sorted_case,0.00011339482449999849,1,2020-11-30 11:47:28.794337
merge_sort,32,sorted_case,0.00011334574949999876,2,2020-11-30 11:47:28.794637
merge_sort,32,sorted_case,0.00011248528700000549,3,2020-11-30 11:47:28.794726
combined_sort,32,sorted_case,8.382899540000039e-05,1,2020-11-30 11:47:30.786948
combined_sort,32,sorted_case,8.464668640000071e-05,2,2020-11-30 11:47:30.787225
combined_sort,32,sorted_case,8.479841620000172e-05,3,2020-11-30 11:47:30.787315
quick_sort,32,sorted_case,5.636183919999951e-05,1,2020-11-30 11:47:32.134188
quick_sort,32,sorted_case,5.648302660000013e-05,2,2020-11-30 11:47:32.134483
quick_sort,32,sorted_case,5.6480770400000326e-05,3,2020-11-30 11:47:32.134563
numpy_sort,32,sorted_case,1.6284177099999652e-05,1,2020-11-30 11:47:33.736015
numpy_sort,32,sorted_case,1.616038174999943e-05,2,2020-11-30 11:47:33.736302
numpy_sort,32,sorted_case,1.6209184099999873e-05,3,2020-11-30 11:47:33.736392
python_sort,32,sorted_case,2.6016986800000554e-06,1,2020-11-30 11:47:35.068165
python_sort,32,sorted_case,2.8442124000000037e-06,2,2020-11-30 11:47:35.068592
python_sort,32,sorted_case,2.8754908400000547e-06,3,2020-11-30 11:47:35.068684
insertion_sort,32,sorted_case,1.1357198849999861e-05,1,2020-11-30 11:47:36.198053
insertion_sort,32,sorted_case,1.1297507249999939e-05,2,2020-11-30 11:47:36.198375
insertion_sort,32,sorted_case,1.1257521400000314e-05,3,2020-11-30 11:47:36.198463
bubble_sort,32,sorted_case,0.00020548803799999858,1,2020-11-30 11:47:37.205426
bubble_sort,32,sorted_case,0.0002055173090000011,2,2020-11-30 11:47:37.205782
bubble_sort,32,sorted_case,0.00020638145399999531,3,2020-11-30 11:47:37.205874
merge_sort,64,sorted_case,0.00025047240700000375,1,2020-11-30 11:47:38.433052
merge_sort,64,sorted_case,0.0002506702200000035,2,2020-11-30 11:47:38.433384
merge_sort,64,sorted_case,0.00025062171700000133,3,2020-11-30 11:47:38.433474
combined_sort,64,sorted_case,0.0001857406315000034,1,2020-11-30 11:47:40.273404
combined_sort,64,sorted_case,0.00018573731600000088,2,2020-11-30 11:47:40.273726
combined_sort,64,sorted_case,0.0001868793370000006,3,2020-11-30 11:47:40.273815
quick_sort,64,sorted_case,0.0001286437394999993,1,2020-11-30 11:47:41.545370
quick_sort,64,sorted_case,0.00012834186599999952,2,2020-11-30 11:47:41.545678
quick_sort,64,sorted_case,0.0001285027449999987,3,2020-11-30 11:47:41.545766
numpy_sort,64,sorted_case,2.1010231099999997e-05,1,2020-11-30 11:47:42.574696
numpy_sort,64,sorted_case,2.105474290000018e-05,2,2020-11-30 11:47:42.575007
numpy_sort,64,sorted_case,2.1013127999999882e-05,3,2020-11-30 11:47:42.575089
python_sort,64,sorted_case,4.325425579999944e-06,1,2020-11-30 11:47:43.610812
python_sort,64,sorted_case,4.323717500000157e-06,2,2020-11-30 11:47:43.611149
python_sort,64,sorted_case,4.330325699999946e-06,3,2020-11-30 11:47:43.611229
insertion_sort,64,sorted_case,2.1611739499999773e-05,1,2020-11-30 11:47:44.669281
insertion_sort,64,sorted_case,2.160608289999999e-05,2,2020-11-30 11:47:44.669602
insertion_sort,64,sorted_case,2.16511042999997e-05,3,2020-11-30 11:47:44.669689
bubble_sort,64,sorted_case,0.0008111243860000172,1,2020-11-30 11:47:46.607072
